Run	BioSample	Sample	SampleName	LibraryName	LibraryStrategy	LibrarySource	LibraryLayout	spots	bases	avgLength	size_MB	ScientificName	Disease	Body_Site	CenterName	exclude_reasons
SRR34061027	SAMN49480609	SRS25438373	NC3-RNA-ZY1521	ZY1521-1-N962R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2332105	116605250	50	51.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061018	SAMN49480662	SRS25438382	NC30-DNA-ZY6502	ZY6502-2-C015D	WGS	METAGENOMIC	SINGLE	800031	40001550	50	17.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061017	SAMN49480663	SRS25438383	NC30-RNA-ZY6502	ZY6502-1-C634R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	621416	27730495	44	13.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061015	SAMN49480664	SRS25438385	NC31-DNA-ZY750	ZY750-1-N846D	WGS	METAGENOMIC	SINGLE	193658	9682900	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061014	SAMN49480665	SRS25438386	NC31-RNA-ZY750	ZY750-1-N972R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	2276955	113227720	49	48.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061013	SAMN49480666	SRS25438387	NC32-DNA-ZY5162	ZY5162-1-C002D	WGS	METAGENOMIC	SINGLE	140281	7014050	50	3.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061012	SAMN49480667	SRS25438388	NC32-RNA-ZY5162	ZY5162-1-C541R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	399686	19984300	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061016	SAMN49480610	SRS25438384	NC4-DNA-ZY1709	ZY1709-1-N895D	WGS	METAGENOMIC	SINGLE	64009	3200450	50	1.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061011	SAMN49480611	SRS25438389	NC4-RNA-ZY1709	ZY1709-1-N959R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	225643	10911143	48	5.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061009	SAMN49480613	SRS25438391	NC5-DNA-ZY1764	ZY1764-1-N908D	WGS	METAGENOMIC	SINGLE	260338	13016900	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061010	SAMN49480612	SRS25438390	NC5-RNA-ZY1764	ZY1764-1-N877R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	657603	32179183	48	14.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061069	SAMN49480615	SRS25438331	NC6-DNA-ZY1851	ZY1851-1-N899D	WGS	METAGENOMIC	SINGLE	207250	10362500	50	4.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061070	SAMN49480614	SRS25438330	NC6-RNA-ZY1851	ZY1851-1-N843R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	327064	15303488	46	7.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061067	SAMN49480617	SRS25438333	NC7-DNA-ZY1935	ZY1935-1-N936D	WGS	METAGENOMIC	SINGLE	121831	6091550	50	2.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061068	SAMN49480616	SRS25438332	NC7-RNA-ZY1935	ZY1935-1-N883R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	249228	12327703	49	6.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061066	SAMN49480618	SRS25438334	NC8-DNA-ZY2131	ZY2131-1-N827D	WGS	METAGENOMIC	SINGLE	112573	5628650	50	2.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061065	SAMN49480619	SRS25438335	NC8-RNA-ZY2131	ZY2131-1-N904R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	541319	26573644	49	11.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
SRR34061064	SAMN49480620	SRS25438336	NC9-DNA-ZY2286	ZY2286-1-N880D	WGS	METAGENOMIC	SINGLE	68989	3449450	50	1.0	human metagenome			VISION MEDICALS CO., LTD.	not_dna_library
SRR34061063	SAMN49480621	SRS25438337	NC9-RNA-ZY2286	ZY2286-1-N910R	RNA-Seq	METATRANSCRIPTOMIC	SINGLE	412767	20638350	50	9.0	human metagenome			VISION MEDICALS CO., LTD.	not_wgs,not_metagenomic,not_dna_library
