run_accession	ngdc_biosample	submitted_sample_name	subject_id	group_raw	mapping_status	biological_grouping_eligible
DRR770827	SAMC5008676	BALF_214	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770836	SAMC5008685	BALF_223	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770840	SAMC5008689	BALF_227	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770842	SAMC5008691	BALF_229	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770844	SAMC5008693	BALF_231	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770845	SAMC5008694	BALF_232	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770846	SAMC5008695	BALF_233	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770625	SAMC5008474	BALF_012	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770626	SAMC5008475	BALF_013	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770636	SAMC5008485	BALF_023	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770638	SAMC5008487	BALF_025	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770640	SAMC5008489	BALF_027	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770614	SAMC5008463	BALF_001	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770643	SAMC5008492	BALF_030	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770618	SAMC5008467	BALF_005	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770621	SAMC5008470	BALF_008	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770645	SAMC5008494	BALF_032	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770648	SAMC5008497	BALF_035	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770623	SAMC5008472	BALF_010	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770649	SAMC5008498	BALF_036	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770650	SAMC5008499	BALF_037	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770624	SAMC5008473	BALF_011	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770652	SAMC5008501	BALF_039	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770628	SAMC5008477	BALF_015	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770653	SAMC5008502	BALF_040	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770629	SAMC5008478	BALF_016	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770655	SAMC5008504	BALF_042	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770632	SAMC5008481	BALF_019	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770657	SAMC5008506	BALF_044	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770633	SAMC5008482	BALF_020	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770660	SAMC5008509	BALF_047	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770635	SAMC5008484	BALF_022	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770661	SAMC5008510	BALF_048	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770637	SAMC5008486	BALF_024	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770641	SAMC5008490	BALF_028	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770664	SAMC5008513	BALF_051	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770654	SAMC5008503	BALF_041	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770670	SAMC5008519	BALF_057	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770659	SAMC5008508	BALF_046	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770671	SAMC5008520	BALF_058	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770663	SAMC5008512	BALF_050	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770674	SAMC5008523	BALF_061	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770665	SAMC5008514	BALF_052	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770675	SAMC5008524	BALF_062	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770666	SAMC5008515	BALF_053	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770678	SAMC5008527	BALF_065	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770667	SAMC5008516	BALF_054	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770679	SAMC5008528	BALF_066	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770680	SAMC5008529	BALF_067	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770681	SAMC5008530	BALF_068	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770682	SAMC5008531	BALF_069	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770683	SAMC5008532	BALF_070	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770691	SAMC5008540	BALF_078	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770684	SAMC5008533	BALF_071	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770692	SAMC5008541	BALF_079	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770689	SAMC5008538	BALF_076	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770694	SAMC5008543	BALF_081	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770696	SAMC5008545	BALF_083	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770695	SAMC5008544	BALF_082	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770699	SAMC5008548	BALF_086	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770700	SAMC5008549	BALF_087	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770702	SAMC5008551	BALF_089	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770704	SAMC5008553	BALF_091	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770703	SAMC5008552	BALF_090	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770705	SAMC5008554	BALF_092	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770707	SAMC5008556	BALF_094	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770710	SAMC5008559	BALF_097	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770706	SAMC5008555	BALF_093	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770713	SAMC5008562	BALF_100	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770709	SAMC5008558	BALF_096	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770716	SAMC5008565	BALF_103	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770711	SAMC5008560	BALF_098	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770717	SAMC5008566	BALF_104	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770714	SAMC5008563	BALF_101	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770720	SAMC5008569	BALF_107	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770719	SAMC5008568	BALF_106	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
