run_accession	experiment_accession	biosample	subject_id	sample_name	library_name	hiv_group	group_evidence	platform	layout	read_length	compressed_bytes	md5	fastq_ftp	center_repository	host_depletion_status	repository_filename_signal	analysis_eligibility
SRR24784646	SRX20557858	SAMN35536428	UNRESOLVED	2234042380099_C1T.unhost.fq.gz	L178	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	25284759	430b90e6d840ade78235804df281c07c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/046/SRR24784646/SRR24784646.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784645	SRX20557859	SAMN35536429	UNRESOLVED	2234042380105_C1T.unhost.fq.gz	L179	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	17805851	d972dacfc8d3fe290dc711ac667d2cda	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/045/SRR24784645/SRR24784645.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784644	SRX20557860	SAMN35536430	UNRESOLVED	2234042380112_C1T.unhost.fq.gz	L180	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	554495924	e2e85714eb682fdfab63bdd34e2d188c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/044/SRR24784644/SRR24784644.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785360	SRX20557862	SAMN35536431	UNRESOLVED	2234042380136_C1T.unhost.fq.gz	L181	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	103339667	95955b3588a20fb81a1d2e97d6f7721f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/060/SRR24785360/SRR24785360.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785359	SRX20557863	SAMN35536432	UNRESOLVED	2234042380150_C1T.unhost.fq.gz	L182	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	34965682	c2ef3afdcec864eded08657e50d4a478	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/059/SRR24785359/SRR24785359.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785358	SRX20557864	SAMN35536433	UNRESOLVED	2234042380181_C1T.unhost.fq.gz	L183	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	68715131	38db5f17c84962a6a6d50ade3c392c76	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/058/SRR24785358/SRR24785358.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785357	SRX20557865	SAMN35536434	UNRESOLVED	2234042380198_C1T.unhost.fq.gz	L184	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	46671878	9a4be96d17cf5d1eaea7a384f36ae739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/057/SRR24785357/SRR24785357.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785356	SRX20557866	SAMN35536435	UNRESOLVED	2234042380204_C1T.unhost.fq.gz	L185	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	23983253	7e79cd5bfe26f5139b2c799c13f8a305	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/056/SRR24785356/SRR24785356.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785355	SRX20557867	SAMN35536436	UNRESOLVED	2234042380211_C1T.unhost.fq.gz	L186	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	36501029	123db3fa5b2f1bf81680711a83da6ae8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/055/SRR24785355/SRR24785355.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785354	SRX20557868	SAMN35536437	UNRESOLVED	2234042380228_C1T.unhost.fq.gz	L187	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	62164807	1907ca6bcb3e10a95dc8c0ef8cc5a97d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/054/SRR24785354/SRR24785354.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785353	SRX20557869	SAMN35536438	UNRESOLVED	2234042380235_C1T.unhost.fq.gz	L188	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	17728356	c73f6f594cb66ed7389ba5cf9314de09	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/053/SRR24785353/SRR24785353.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
