contrast	taxon	prevalence	mean_group	mean_other	mean_delta_group_minus_other	median_group	median_other	p_value	q_value
Enterobacterales_vs_other	Candida albicans	3	0.0	0.030490384615384617	-0.030490384615384617	0.0	0.0	0.7143252846662898	0.8414068159271376
Haemophilus_vs_other	Candida albicans	3	0.0	0.030490384615384617	-0.030490384615384617	0.0	0.0	0.7143252846662898	0.8414068159271376
Pseudomonas_vs_other	Candida albicans	3	0.0	0.030490384615384617	-0.030490384615384617	0.0	0.0	0.7143252846662898	0.8414068159271376
Staphylococcus_vs_other	Candida albicans	3	0.0	0.030490384615384617	-0.030490384615384617	0.0	0.0	0.7143252846662898	0.8414068159271376
Streptococcus_vs_other	Candida albicans	3	0.00055	0.03040576923076923	-0.02985576923076923	0.0	0.0	0.6254994799810465	0.8414068159271376
Staphylococcus_vs_other	Toxoplasma gondii	30	0.07347000000000001	0.10272576923076923	-0.029255769230769224	0.039445	0.04066	0.6693340144640527	0.8414068159271376
Mycobacteria_vs_other	Candida albicans	3	0.0018075	0.03021230769230769	-0.02840480769230769	0.0	0.0	0.5829505577618919	0.8414068159271376
Streptococcus_vs_other	Streptococcus oralis	9	0.0275675	0.0010615384615384614	0.02650596153846154	0.02631	0.0	0.028069050496436487	0.8414068159271376
Streptococcus_vs_other	Streptococcus gwangjuense	5	0.0254925	5.8076923076923076e-05	0.025434423076923077	0.014010000000000002	0.0	0.020430973446714962	0.8414068159271376
Acinetobacter_vs_other	Streptococcus mitis	7	0.0	0.02503076923076923	-0.02503076923076923	0.0	0.0	0.3930360510185342	0.8414068159271376
Enterobacterales_vs_other	Streptococcus mitis	7	0.0	0.02503076923076923	-0.02503076923076923	0.0	0.0	0.3930360510185342	0.8414068159271376
Haemophilus_vs_other	Streptococcus mitis	7	0.0	0.02503076923076923	-0.02503076923076923	0.0	0.0	0.3930360510185342	0.8414068159271376
Haemophilus_vs_other	Arabidopsis thaliana	29	0.026912500000000002	0.05031730769230769	-0.023404807692307687	0.026375000000000003	0.00963	0.46410347443092714	0.8414068159271376
Streptococcus_vs_other	Prevotella denticola	3	0.0234075	4.3461538461538456e-05	0.023364038461538464	0.0	0.0	0.541802935032798	0.8414068159271376
Staphylococcus_vs_other	Streptococcus mitis	7	0.003994999999999999	0.024416153846153848	-0.02042115384615385	0.00019	0.0	0.4277105102974641	0.8414068159271376
Streptococcus_vs_other	Arabidopsis thaliana	29	0.063665	0.04466307692307692	0.019001923076923076	0.04099	0.012035	0.3930360510185342	0.8414068159271376
Enterobacterales_vs_other	Salmonella enterica	2	0.018987499999999997	0.0	0.018987499999999997	0.008565	0.0	0.11268690036881446	0.8414068159271376
Acinetobacter_vs_other	Staphylococcus haemolyticus	3	0.0	0.018651153846153845	-0.018651153846153845	0.0	0.0	0.7143252846662898	0.8414068159271376
Haemophilus_vs_other	Staphylococcus haemolyticus	3	0.0	0.018651153846153845	-0.018651153846153845	0.0	0.0	0.7143252846662898	0.8414068159271376
Mycobacteria_vs_other	Staphylococcus haemolyticus	3	0.0	0.018651153846153845	-0.018651153846153845	0.0	0.0	0.7143252846662898	0.8414068159271376
Pseudomonas_vs_other	Staphylococcus haemolyticus	3	0.0	0.018651153846153845	-0.018651153846153845	0.0	0.0	0.7143252846662898	0.8414068159271376
Acinetobacter_vs_other	Arabidopsis thaliana	29	0.03106	0.04967923076923077	-0.018619230769230766	0.0066500000000000005	0.01418	0.5021582515007488	0.8414068159271376
Enterobacterales_vs_other	Staphylococcus haemolyticus	3	6e-05	0.018641923076923077	-0.018581923076923076	0.0	0.0	0.6254994799810465	0.8414068159271376
Streptococcus_vs_other	Staphylococcus haemolyticus	3	0.000115	0.01863346153846154	-0.01851846153846154	0.0	0.0	0.5829505577618919	0.8414068159271376
Streptococcus_vs_other	Streptococcus toyakuensis	5	0.01544	8.461538461538461e-05	0.015355384615384616	0.014555000000000002	0.0	0.020430973446714962	0.8414068159271376
Streptococcus_vs_other	Moraxella catarrhalis	2	0.0151825	0.00012384615384615385	0.015058653846153847	0.0	0.0	0.48292727458071427	0.8414068159271376
Staphylococcus_vs_other	Enterococcus faecium	3	0.0150125	0.00032346153846153847	0.014689038461538462	0.0	0.0	0.541802935032798	0.8414068159271376
Acinetobacter_vs_other	Homo sapiens	30	0.10112750000000001	0.11559653846153847	-0.014469038461538464	0.08385500000000001	0.060885	0.3930360510185342	0.8414068159271376
Streptococcus_vs_other	Streptococcus pseudopneumoniae	5	0.0127875	9.999999999999999e-05	0.0126875	0.009435	0.0	0.020430973446714962	0.8414068159271376
Acinetobacter_vs_other	Rothia mucilaginosa	10	0.0	0.010643846153846153	-0.010643846153846153	0.0	0.0	0.22239749878529658	0.8414068159271376
Enterobacterales_vs_other	Rothia mucilaginosa	10	0.0	0.010643846153846153	-0.010643846153846153	0.0	0.0	0.22239749878529658	0.8414068159271376
Haemophilus_vs_other	Rothia mucilaginosa	10	0.00067	0.010540769230769232	-0.009870769230769232	0.0	0.0	0.6916935994652547	0.8414068159271376
Pseudomonas_vs_other	Rothia mucilaginosa	10	0.0008775	0.010508846153846155	-0.009631346153846155	0.0010400000000000001	0.0	0.3763568303634002	0.8414068159271376
Streptococcus_vs_other	Neisseria sicca	5	0.0108875	0.001261153846153846	0.009626346153846154	0.0	0.0	0.6693340144640527	0.8414068159271376
Mycobacteria_vs_other	Prevotella melaninogenica	10	0.01252	0.0033246153846153846	0.009195384615384616	0.006235000000000001	0.0	0.09339700588411315	0.8414068159271376
Pseudomonas_vs_other	Pseudomonas putida	2	0.0079975	0.0	0.0079975	0.00344	0.0	0.11268690036881446	0.8414068159271376
Streptococcus_vs_other	Prevotella melaninogenica	10	0.0109825	0.003561153846153846	0.007421346153846153	0.002885	0.0	0.3930360510185342	0.8414068159271376
Staphylococcus_vs_other	Prevotella jejuni	6	0.00844	0.0014003846153846156	0.007039615384615384	0.00036	0.0	0.2721346393759747	0.8414068159271376
Streptococcus_vs_other	Streptococcus sp. 116-D4	6	0.0064975	4.4999999999999996e-05	0.0064525	0.006005	0.0	0.022147231652192012	0.8414068159271376
Streptococcus_vs_other	Prevotella jejuni	6	0.0079225	0.00148	0.0064425	0.0	0.0	0.7836696728774568	0.8414068159271376
Enterobacterales_vs_other	Neisseria subflava	5	0.0058175	0.00010692307692307692	0.005710576923076923	0.0	0.0	0.6693340144640527	0.8414068159271376
Mycobacteria_vs_other	Streptococcus ilei	2	0.0060775	0.00040423076923076925	0.00567326923076923	0.0	0.0	0.48292727458071427	0.8414068159271376
Acinetobacter_vs_other	Acinetobacter lwoffii	2	0.0054625	0.0	0.0054625	0.00498	0.0	0.11268690036881446	0.8414068159271376
Staphylococcus_vs_other	Prevotella melaninogenica	10	0.00924	0.0038292307692307692	0.005410769230769231	0.0029	0.0	0.4277105102974641	0.8414068159271376
Enterobacterales_vs_other	Neisseria mucosa	5	0.00602	0.0006111538461538462	0.005408846153846154	0.0	0.0	0.6693340144640527	0.8414068159271376
Acinetobacter_vs_other	Streptococcus oralis	9	0.0	0.005302692307692308	-0.005302692307692308	0.0	0.0	0.2721346393759747	0.8414068159271376
Haemophilus_vs_other	Streptococcus oralis	9	0.0	0.005302692307692308	-0.005302692307692308	0.0	0.0	0.2721346393759747	0.8414068159271376
Acinetobacter_vs_other	Prevotella melaninogenica	10	0.0	0.005250769230769231	-0.005250769230769231	0.0	0.0	0.22239749878529658	0.8414068159271376
Haemophilus_vs_other	Prevotella melaninogenica	10	0.0	0.005250769230769231	-0.005250769230769231	0.0	0.0	0.22239749878529658	0.8414068159271376
Enterobacterales_vs_other	Prevotella melaninogenica	10	2.25e-05	0.005247307692307692	-0.005224807692307692	0.0	0.0	0.5621948937645229	0.8414068159271376
