# Constructed from biom file
#OTU ID	CH1	CH10	CH11	CH12	CH13	CH14	CH15	CH16	CH17	CH18	CH19	CH2	CH20	CH21	CH22	CH23	CH3	CH4	CH5	CH6	CH7	CH8	CH9	CP1	CP10	CP11	CP12	CP13	CP14	CP15	CP16	CP17	CP18	CP19	CP2	CP20	CP21	CP22	CP23	CP24	CP25	CP3	CP4	CP5	CP6	CP7	CP8	CP9
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__	0.0	0.0112750701444456	0.034425974141575985	0.0	0.0	0.00024422580420068384	0.027795749763599262	0.029701364594675997	0.0	0.07771366750811395	0.0	0.0	0.003550620868234694	0.00023511893099259376	0.0	0.00364010596329401	0.0038296282458434522	0.0	0.0	0.009217921109301959	0.0	0.0	0.0	0.07194423699278069	0.007407102588370849	0.13121727092153046	0.0	0.026235994924840324	0.01296579887697805	0.024684306085395458	0.0026101642868109932	0.02357078267858937	0.04297048556013964	0.00018054162487462388	0.038646541715043954	0.010583059892546785	0.006680169828224204	0.004987771294317022	0.008725706838914386	0.01701436388508892	0.020163393012341387	0.0	0.04038577456298975	0.012531554273350162	0.001446702176629184	0.0044581187994474445	0.0	0.0012108166285483655
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__	0.02906063462142633	0.011950535176140496	0.003137726149943254	0.027123765252760022	0.023181878394489337	0.0012560184216035169	0.0011197929627233365	0.00039385584875935406	0.005484024797329518	0.001586729174179589	0.004522124062660993	0.0009127789046653144	0.018106204759008964	0.0	0.024068898648263275	0.028110765946904002	0.0	0.00014341852393655164	0.00027808676307007786	0.001444403592625663	0.0012751566224981981	0.0002197372918599541	8.01394426301765e-05	0.0004978839930296241	0.006254886630179828	0.0	0.004196421998085843	0.0	0.0	0.007874497643770783	0.0012283126055581146	0.0013664221842660505	0.0052470115307309845	0.009327983951855566	0.00045612871122905957	0.0030469116215339127	0.017722899544268297	0.05823559997689064	0.002323077794775908	0.02194482444140447	0.005264334136227062	0.0019990989976348687	0.00047587322737222806	0.013342949873782907	0.006444400604984546	0.004081376365691322	0.0	0.0008744786761738194
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	0.0017541103780500575	0.0	0.0008678817010481341	0.08790238233585125	0.0025168896542588424	0.0	0.02364007365749266	0.004842110140629706	0.05726434589095533	0.006815723043635052	0.014921101337556527	0.0014452332657200811	0.0004904172469937422	0.011599200595634625	0.0019201885967413828	0.00022869775685616816	0.020455819166822344	0.00785933511172303	0.03542825361512792	0.0034928305058038764	0.003742307479070799	0.004004101762781386	0.0034259611724400457	0.003236245954692557	0.004238508703345542	0.00427359001625168	0.01715379518515792	0.00716113631964904	0.003318019397651863	0.010036924457863278	0.0009212344541685859	0.01523158846578921	0.007426213900349096	0.03175526579739218	0.010739757837120584	0.011556629286409692	0.014976823900595957	0.004968513490091859	0.008584055753867075	0.0029069767441860465	0.0067542400238384944	0.0003941885347449037	0.002537990545985216	0.0010818608005769925	0.0026961267837180246	0.0034534723094311187	0.004683451803627184	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__	0.025500052361503822	0.008001662683154942	0.0	0.003927948866937827	0.06981057093654788	0.0	0.0	0.0002548479021384056	0.0	0.00018031013342949875	0.0	0.0	0.024972046216921357	0.003448410987891375	0.0	0.0	0.0	0.010096664085133236	0.00013904338153503893	0.0011555228741005304	0.0	0.0	0.20952457275659647	0.0005476723923325865	0.00020575284967696802	0.0	0.0006257822277847309	0.0014838390572245758	0.0	0.0	0.0	0.001165477745403396	0.0	0.0	0.0	0.017398045649587135	5.842714135473065e-05	0.0024842567450459297	0.008187432715734603	0.0	0.0	0.013402410181326726	0.0	0.0027948070681572306	0.025909120799631747	0.0007534848675122441	0.0007639673154852853	0.0008744786761738194
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;s__	0.0	0.0	0.0002002803925495694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013130941751142392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053509863522307674	0.0	0.0	0.006558764413413731	0.0	0.0	0.007427973893916994	0.0	0.0	0.0	0.0	0.3732214248466639	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__	0.0	0.0	0.03462625453412555	0.0	0.00026493575307987813	0.0	0.04790225451649828	0.0031508467900748325	0.00031791448100460976	0.0073205914172376485	0.0006487435364155011	0.030400608519269776	0.0020009023677344685	0.0	0.0	0.0011625469306855215	0.010975154119185503	0.0	0.0	0.018304532801092493	0.024920995730997396	0.0020752966453440108	0.0	0.037640029873039584	0.07254845479609892	0.018197869224132742	0.0003681071928145476	0.026214490010967505	0.06482899438489025	0.0255411167098472	0.003377859665284815	0.09663418064905054	0.007235798159314503	0.012617853560682046	0.004727152098192072	0.00962751956153319	0.04068476609667744	0.015887688485758854	0.025978808997676923	0.10807113543091655	0.01686076829480271	0.034547809437999774	0.013609974302845721	0.0022538766678687344	0.0024330900243309003	0.009669722466407134	0.0002657277619079253	0.0026234360285214585
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.0	0.0	0.0	0.0	0.00639157504305206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16066716455065969	0.17163902720052673	0.0	0.23875432525951557	0.0	0.1967330270546197	0.0	0.0	0.0	0.0	0.0	0.13683861336871786	0.0	0.0	0.0	0.0	0.0	0.0	0.23169838945827234	0.16211414612480568	0.19455463397042913	0.22456763332675742	0.16030390556322993	0.3018335215571647	0.2461321135476927
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__	0.006073934443397214	0.0	0.024345194383247656	0.0	0.0	0.0	0.012218185437714626	0.0475175497532609	0.007133206167540931	0.0026505589614136313	0.0	0.02966531440162272	0.0	0.0007249500372271641	0.016083955968744654	0.0	0.0	0.01560393540429682	0.0	0.0019171174956667892	0.0	0.0003662288197665902	0.0	0.010903659447348767	0.0	0.007744627916775345	0.0	0.015117954452592418	0.003266972945380296	0.0002652032885207777	0.0	0.0027127499246458356	0.0015021686237173383	0.0	0.0	0.013215303068546498	0.0037198613329178514	0.0190267105744603	0.003909569947305796	0.001795485636114911	0.008467631794591642	0.001914630025903818	0.0018400431458392818	0.0018031013342949874	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	0.004686354592103885	0.0	0.04065691968756259	0.014131319000581058	0.08285865677573188	0.003733165864210453	0.021027223411138208	0.008456316752774367	0.010670004768717215	0.030364226469527588	0.027361712682936138	0.004665314401622718	0.01792965455009122	0.00037227164073827345	0.00032320006083765853	0.014808179756436888	0.01643937978703531	0.02266012678197516	0.0	0.023556909501549452	0.0	0.0	0.01218119527978683	0.005028628329599203	0.012221719270811901	0.004032824381533275	0.031546786424206726	0.01793509816993183	0.0035732516590096988	0.02142026561129358	0.017656993704897896	0.04016879332864463	0.012207764730773299	0.0558876629889669	0.01712555979432742	0.014405221216601162	0.005881665563042885	0.007645348277389412	0.004164541900390957	0.014990880072959416	0.0024831764793523878	0.014247099898637233	0.008121569747152693	0.007663180670753696	0.0	0.004332537988195404	0.03892911711951106	0.03403740078030405
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group;s__	0.003246413236988166	0.0010911358204302192	0.0004005607850991388	0.0007669959325973272	0.0003311696913498477	0.013606866234038098	0.014308465634798189	0.0091745244769826	0.013650453028135431	0.004850342589253516	0.0	0.00996450304259635	0.007807442572140377	0.023374740389513697	0.011787296336432251	0.003983152598578263	0.009667476181580422	0.0	0.0	0.010531015284416198	0.009951765814714198	0.0015625762976707847	0.012922485124115961	0.00597460791635549	0.004526562692893296	0.0004414036636504083	0.0	0.0034407862196511904	0.0025012761613067893	0.0049368612170790915	0.003531398740979579	0.003998794333366824	0.021368877604993123	0.0006619859578736208	0.003524630950406369	0.03975408358273537	0.02699333930588556	0.021973154620910124	0.01889625474531135	0.006469448244414045	0.008889771796081547	0.008672147764387881	0.0007296722819707497	0.00576992426974396	0.004340106529887552	0.0	0.0	0.0007399434952240011
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	0.0	0.004416502130312792	0.018203262345060863	0.0	0.0	0.0	0.022271437814164137	0.017561337256446492	0.0	0.023548503425892535	0.0	0.006414807302231237	0.0	0.0	0.0	0.010844085304263307	0.021062955352138986	0.0	0.0	0.009322968643311098	0.015828574596662415	0.0	0.0035261354757277663	0.026487428429176	0.008353565696884903	0.001865933669067635	0.006441875874254583	0.007806283735833638	0.01066870852475753	0.00450845590485322	0.002456625211116229	0.01708027730332563	0.012652068126520682	0.054222668004012035	0.024174821695140156	0.00034255219413694874	0.010594788298991157	0.014597415602672983	0.04289194855232591	0.01564637482900137	0.0072260435549154475	0.029141795247212523	0.005234605501094509	0.0	0.011902413362267376	0.03585332161245762	0.006809273898890586	0.05186331225615499
