taxonomic_level	taxon	healthy_control_mean	idiopathic_central_precocious_puberty_mean	mean_delta_g2_minus_g1	healthy_control_detected	idiopathic_central_precocious_puberty_detected	p_value	q_value
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group;s__	0.00084053	0.00224711	0.00140658	8	18	0.00707691	0.15367
species	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__	0.00000000	0.01168846	0.01168846	0	11	0.00931329	0.188749
species	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__	0.00002801	0.01571704	0.01568903	2	12	0.0101881	0.193574
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010;s__	0.00022971	0.00064991	0.00042019	6	16	0.014463	0.258632
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005;s__	0.00031891	0.00305992	0.00274101	7	16	0.0157527	0.266046
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.03883318	0.02006375	-0.01876943	23	25	0.0231995	0.352632
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__	0.00016729	0.00152931	0.00136203	2	12	0.0225809	0.352632
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group;s__	0.00026927	0.00151482	0.00124555	3	12	0.0335307	0.392051
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Conservatibacter;s__	0.00171526	0.00091047	-0.00080478	19	19	0.030239	0.392051
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__	0.00000000	0.00067273	0.00067273	0	9	0.0335307	0.392051
species	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.00001357	0.00026480	0.00025124	2	11	0.0287	0.392051
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group;s__	0.00150625	0.00173172	0.00022546	10	20	0.0310348	0.392051
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__	0.00005293	0.00026107	0.00020814	4	13	0.0318484	0.392051
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__	0.01184699	0.00475570	-0.00709129	23	24	0.0431265	0.485572
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__;__	0.00000426	0.00058944	0.00058517	1	9	0.052388	0.568784
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__	0.00054252	0.00780755	0.00726503	10	14	0.0618038	0.58273
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	0.00141523	0.00455034	0.00313511	7	15	0.0632569	0.58273
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__uncultured;s__	0.00001209	0.00066921	0.00065712	1	9	0.0603785	0.58273
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	0.00042278	0.00106768	0.00064490	14	18	0.0562652	0.58273
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__	0.00005251	0.00039421	0.00034169	5	12	0.0632569	0.58273
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__	0.00091247	0.00173344	0.00082097	4	12	0.0709515	0.6304
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__;__	0.00035281	0.00113132	0.00077851	5	13	0.072579	0.6304
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	0.00347822	0.00895424	0.00547602	17	21	0.0829968	0.663974
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__	0.00525515	0.00385838	-0.00139677	13	20	0.0829968	0.663974
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group;s__	0.00544444	0.00583429	0.00038985	10	20	0.0811809	0.663974
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;s__	0.00156873	0.00369684	0.00212811	16	20	0.088643	0.690961
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	0.00042181	0.00191941	0.00149759	6	12	0.0966482	0.69805
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Fermentimonas;s__	0.00000000	0.00080620	0.00080620	0	7	0.0987374	0.69805
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__	0.00000000	0.00068731	0.00068731	0	7	0.0987374	0.69805
species	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__	0.00077919	0.00015149	-0.00062770	13	9	0.0987374	0.69805
species	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__	0.00497242	0.00132564	-0.00364678	11	5	0.112039	0.772754
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	0.01079450	0.01061220	-0.00018230	14	22	0.114388	0.772754
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003;s__	0.00058937	0.00158667	0.00099729	8	14	0.124171	0.820608
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__;__	0.03584188	0.02256032	-0.01328156	23	25	0.154449	0.870313
species	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;s__	0.00130633	0.00519104	0.00388471	10	16	0.145683	0.870313
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352;s__	0.00001015	0.00167531	0.00166515	1	7	0.142848	0.870313
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__	0.00005642	0.00117960	0.00112317	2	8	0.140055	0.870313
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819;s__	0.00084152	0.00035881	-0.00048272	15	14	0.154449	0.870313
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter;s__	0.00070940	0.00114021	0.00043081	14	21	0.148562	0.870313
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	0.00000000	0.00014530	0.00014530	0	6	0.157458	0.870313
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group;s__	0.00020486	0.00008831	-0.00011655	10	5	0.137304	0.870313
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Hungateiclostridiaceae;g__Fastidiosipila;s__	0.00000000	0.00008287	0.00008287	0	6	0.157458	0.870313
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group;s__	0.00543061	0.00496175	-0.00046886	14	21	0.166751	0.90522
species	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__	0.05226391	0.02048879	-0.03177511	8	13	0.432906	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.12163046	0.09112870	-0.03050176	22	25	0.208069	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;s__	0.00001442	0.01762872	0.01761430	2	4	0.613123	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	0.01280943	0.00720346	-0.00560597	21	24	0.741248	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group;s__	0.00842048	0.00311041	-0.00531007	19	23	0.820413	0.906929
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__	0.00838968	0.00406376	-0.00432592	12	15	0.635026	0.906929
species	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium;s__	0.00000000	0.00349065	0.00349065	0	1	0.820413	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	0.00735596	0.00407004	-0.00328592	22	23	0.694974	0.906929
species	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.02088331	0.01799689	-0.00288642	23	24	0.36385	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004;s__	0.00536565	0.00330441	-0.00206124	19	22	0.274046	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__	0.00058205	0.00257837	0.00199632	9	11	0.397474	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	0.00185589	0.00372156	0.00186568	15	18	0.36385	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__	0.00472605	0.00314665	-0.00157940	20	24	0.211821	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis;s__	0.00342710	0.00202091	-0.00140618	21	21	0.508996	0.906929
species	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__	0.00014105	0.00148333	0.00134228	2	5	0.522326	0.906929
species	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	0.00237780	0.00107022	-0.00130757	20	18	0.414967	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter;s__	0.00114463	0.00239373	0.00124909	17	20	0.321879	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__	0.00121880	0.00024345	-0.00097535	9	7	0.353049	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__	0.00100753	0.00005030	-0.00095723	7	3	0.215622	0.906929
species	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	0.00005891	0.00096292	0.00090401	3	7	0.283202	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__;__	0.00036143	0.00125234	0.00089091	10	15	0.274046	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group;s__	0.00708606	0.00792540	0.00083934	20	22	0.717982	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Peptoniphilus;s__	0.00078917	0.00000254	-0.00078663	3	1	0.577381	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014;s__	0.00409445	0.00342124	-0.00067321	4	8	0.391744	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__	0.00256577	0.00189401	-0.00067176	16	21	0.48288	0.906929
species	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.00095032	0.00147462	0.00052430	8	11	0.620387	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39;s__	0.00000235	0.00050590	0.00050355	1	5	0.332063	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Anaerococcus;s__	0.00048473	0.00000000	-0.00048473	2	0	0.613123	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__	0.00000669	0.00047731	0.00047062	2	5	0.470101	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__	0.00015927	0.00060442	0.00044515	8	3	0.274046	0.906929
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	0.00004838	0.00049284	0.00044446	2	5	0.48288	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Atopostipes;s__	0.00000000	0.00035406	0.00035406	0	5	0.239458	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	0.00005532	0.00038492	0.00032959	2	7	0.231315	0.906929
species	d__Eukaryota;__;__;__;__;__;__	0.00000000	0.00032754	0.00032754	0	2	0.6424	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella;s__	0.00045726	0.00077108	0.00031382	6	9	0.495846	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	0.01551661	0.01582828	0.00031167	19	24	0.605897	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010;s__	0.00001176	0.00030522	0.00029346	1	5	0.342454	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	0.00004873	0.00033855	0.00028982	1	2	0.820413	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__;__	0.00042087	0.00015667	-0.00026421	4	3	0.741248	0.906929
species	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__	0.00066923	0.00090350	0.00023427	14	16	0.358424	0.906929
species	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	0.00041449	0.00018782	-0.00022667	6	6	0.780546	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter;s__	0.00003452	0.00025232	0.00021780	1	4	0.48288	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	0.00043200	0.00021438	-0.00021761	7	6	0.635026	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003;s__	0.00173813	0.00195423	0.00021610	11	17	0.22337	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	0.00020083	0.00000000	-0.00020083	4	0	0.306989	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__	0.00069445	0.00087271	0.00017826	1	4	0.522326	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group;s__	0.00014162	0.00031598	0.00017436	2	6	0.414967	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__;__	0.00000000	0.00017149	0.00017149	0	3	0.48288	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerellaceae;s__	0.00001693	0.00018833	0.00017141	1	3	0.64981	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-003;s__	0.00000000	0.00014720	0.00014720	0	1	0.820413	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575;s__	0.00001928	0.00016556	0.00014627	1	6	0.239458	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group;s__	0.00005375	0.00019620	0.00014245	5	7	0.577381	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009;s__	0.00000000	0.00014121	0.00014121	0	5	0.239458	0.906929
species	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured;s__	0.00000994	0.00015085	0.00014091	1	3	0.664732	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__;__	0.00000249	0.00013961	0.00013712	1	2	0.820413	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__	0.00017307	0.00003675	-0.00013632	2	4	0.702613	0.906929
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	0.00000000	0.00013150	0.00013150	0	4	0.347726	0.906929
species	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__vadinBE97;g__vadinBE97;s__	0.00000000	0.00012525	0.00012525	0	1	0.820413	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__	0.00011807	0.00000000	-0.00011807	1	0	0.804405	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__	0.00011349	0.00000000	-0.00011349	2	0	0.613123	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Fenollaria;s__	0.00011227	0.00000000	-0.00011227	4	0	0.306989	0.906929
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__	0.00000000	0.00011201	0.00011201	0	3	0.48288	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	0.00010820	0.00000000	-0.00010820	3	0	0.445111	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	0.00000663	0.00011186	0.00010523	1	2	0.820413	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001;s__	0.00000518	0.00011010	0.00010492	1	6	0.239458	0.906929
species	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Synergistes;s__	0.00000000	0.00010156	0.00010156	0	1	0.820413	0.906929
species	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__;__;__	0.00000000	0.00009965	0.00009965	0	1	0.820413	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus;s__	0.00004459	0.00014363	0.00009904	1	3	0.64981	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__	0.00000000	0.00009276	0.00009276	0	2	0.6424	0.906929
species	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	0.00008949	0.00000000	-0.00008949	1	0	0.804405	0.906929
species	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__	0.00008529	0.00000000	-0.00008529	1	0	0.804405	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	0.00000000	0.00008386	0.00008386	0	3	0.48288	0.906929
species	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__uncultured;s__	0.00000000	0.00007572	0.00007572	0	5	0.239458	0.906929
species	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__	0.00000720	0.00008162	0.00007442	1	2	0.820413	0.906929
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__	0.00000000	0.00007284	0.00007284	0	1	0.820413	0.906929
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter;s__	0.00007252	0.00000000	-0.00007252	2	0	0.613123	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella;s__	0.00025054	0.00032021	0.00006967	3	6	0.577381	0.906929
species	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__	0.00000000	0.00006917	0.00006917	0	2	0.6424	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea;s__	0.00008990	0.00002182	-0.00006808	5	3	0.522326	0.906929
species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__	0.00000000	0.00006297	0.00006297	0	2	0.6424	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group;s__	0.00000000	0.00006270	0.00006270	0	3	0.48288	0.906929
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Mannheimia;s__	0.00006665	0.00000497	-0.00006168	2	1	0.772638	0.906929
species	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;s__	0.00000000	0.00006139	0.00006139	0	3	0.48288	0.906929
species	d__Bacteria;p__Proteobacteria;__;__;__;__;__	0.00000000	0.00006112	0.00006112	0	1	0.820413	0.906929
species	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__;__	0.00000000	0.00006071	0.00006071	0	2	0.6424	0.906929
species	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group;s__	0.00000000	0.00005853	0.00005853	0	4	0.347726	0.906929
species	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__	0.00000000	0.00005755	0.00005755	0	1	0.820413	0.906929
species	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__	0.00000000	0.00005695	0.00005695	0	2	0.6424	0.906929
