UniRef90	kruskal_H	epsilon_squared	group_mean_range	highest_mean_group	raw_p	BH_q	group_means_json
UniRef90_C8ZJR7	10.145892351274787	0.10218535006070414	0.00017392616676444874	Streptococcus	0.25493518231558165	0.27462391810027376	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 1.9332586738249665e-05, ""Haemophilus"": 8.096525882418655e-05, ""Mycobacteria"": 0.0, ""Pseudomonas"": 2.334767022425762e-06, ""Staphylococcus"": 1.2847825513827374e-06, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.00017392616676444874}"
UniRef90_X1FQ44	10.093570219966166	0.09969381999838885	5.192845003891994e-05	Mycobacteria	0.25851985914466286	0.2781151144255748	"{""Acinetobacter"": 3.344632621576072e-05, ""Candida"": 0.0, ""Enterobacterales"": 2.882629631072719e-06, ""Haemophilus"": 0.0, ""Mycobacteria"": 5.192845003891994e-05, ""Pseudomonas"": 0.0, ""Staphylococcus"": 6.3896784677022165e-06, ""Stenotrophomonas"": 2.114229202678707e-05, ""Streptococcus"": 2.2264839440334507e-05}"
UniRef90_A2T1M0	9.746863617968435	0.08318398180802071	0.00012440398277294325	Streptococcus	0.2832442289568786	0.3039052801407358	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 2.3025002385011778e-05, ""Haemophilus"": 5.512780317066987e-05, ""Mycobacteria"": 0.0, ""Pseudomonas"": 1.180923069038242e-06, ""Staphylococcus"": 2.186560182396612e-06, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.00012440398277294325}"
UniRef90_C9KU46	9.746863617968435	0.08318398180802071	9.271398664296811e-05	Streptococcus	0.2832442289568786	0.3039052801407358	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 1.4438305432152743e-05, ""Haemophilus"": 3.132220784574677e-05, ""Mycobacteria"": 0.0, ""Pseudomonas"": 1.0052821176685324e-06, ""Staphylococcus"": 1.2759355232194655e-06, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 9.271398664296811e-05}"
UniRef90_Q9LPW2	9.641257142857148	0.07815510204081656	0.008711180564083251	Candida	0.2911128547785903	0.31193417154421127	"{""Acinetobacter"": 0.0006627544035352514, ""Candida"": 0.008775630663516913, ""Enterobacterales"": 6.4450099433662e-05, ""Haemophilus"": 0.0005080432826460227, ""Mycobacteria"": 0.0012777453579106627, ""Pseudomonas"": 0.00037697994881383495, ""Staphylococcus"": 0.0010309055673299462, ""Stenotrophomonas"": 0.00013096349580330797, ""Streptococcus"": 0.0008425602203709832}"
UniRef90_A0A0E2LTX7	9.594058295964123	0.07590753790305348	0.00036214564979986926	Haemophilus	0.2946808181465408	0.31533965857215807	"{""Acinetobacter"": 0.00023736094771729339, ""Candida"": 8.733804434668515e-05, ""Enterobacterales"": 1.6128474199322772e-05, ""Haemophilus"": 0.00037827412399919205, ""Mycobacteria"": 0.0003203299933129866, ""Pseudomonas"": 0.0001247762621323927, ""Staphylococcus"": 0.0001686226585575399, ""Stenotrophomonas"": 9.54091038125982e-05, ""Streptococcus"": 9.147222370370388e-05}"
UniRef90_D7KNB0	9.55051252847379	0.07383392992732335	0.004201390544189367	Candida	0.29800072836104863	0.3184710558046081	"{""Acinetobacter"": 0.0005323502828008559, ""Candida"": 0.004201390544189367, ""Enterobacterales"": 0.0, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.00093959062110835, ""Staphylococcus"": 0.003101409513404364, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0013503392751591907}"
UniRef90_A0A2H9EK07	9.453075170842812	0.06919405575441961	1.9012399959898014e-06	Acinetobacter	0.3055270518772619	0.32608362133074525	"{""Acinetobacter"": 1.9012399959898014e-06, ""Candida"": 0.0, ""Enterobacterales"": 3.5281177133577256e-07, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 3.696320084304223e-07, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 2.158230519993552e-07}"
UniRef90_A0A379VZ69	9.414691943127957	0.06736628300609321	2.2084685265092633e-05	Haemophilus	0.30852897794617795	0.32885368005066923	"{""Acinetobacter"": 4.3458935876934767e-07, ""Candida"": 0.0, ""Enterobacterales"": 8.585709763000488e-07, ""Haemophilus"": 2.2084685265092633e-05, ""Mycobacteria"": 0.0, ""Pseudomonas"": 5.518031446673687e-08, ""Staphylococcus"": 8.296799596953725e-07, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 4.608620782822413e-07}"
UniRef90_A0A381YNG7	9.337484116899617	0.06368971985236271	6.0473955947848416e-05	Haemophilus	0.3146308527020759	0.3349162629420782	"{""Acinetobacter"": 3.293492243359228e-05, ""Candida"": 0.0, ""Enterobacterales"": 8.472375418605604e-06, ""Haemophilus"": 6.0473955947848416e-05, ""Mycobacteria"": 0.0, ""Pseudomonas"": 4.9425602534362826e-06, ""Staphylococcus"": 3.2013452449010264e-05, ""Stenotrophomonas"": 2.8119248390203797e-05, ""Streptococcus"": 1.2529571385494955e-05}"
