pathogen_group	UniRef90	spearman_rho	raw_p	BH_q_within_pathogen	matched_species_features
Acinetobacter	UniRef90_A0A0J1FIM8	-0.035793238205206884	0.8510513310231648	0.918557764492043	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0J1KX97	0.30731281121960274	0.09854445177973171	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0J4Y5U0	-0.1633309646261813	0.3884674226427345	0.7492940434496557	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0K6BD85	-0.22064324921017944	0.24132941050406176	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0M0G7P4	-0.05037157356832586	0.7915172595241802	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0M1V7E5	0.18828223932601978	0.3190594434266846	0.6501740295521105	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0M1V7T3	0.18828223932601978	0.3190594434266846	0.6501740295521105	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0M2KDX5	0.2642815807206372	0.15816836499077225	0.5276483170685677	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0M3E0F8	0.18632096599970707	0.3242183314252671	0.6573750128397019	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0M3KI73	-0.14325716369466934	0.45011761778653847	0.831381627372853	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0M9FJG7	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0N4VRR8	-0.2765056943213598	0.13910158470361966	0.4829750301511945	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0P0C3B9	0.2049530625996778	0.2772759709396825	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0P0CMK4	0.18828223932601978	0.3190594434266846	0.6501740295521105	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0P6BLV8	0.13191411686954588	0.4871379160194186	0.8769115779484322	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0P6C3J2	0.3025033359172625	0.10420483188578389	0.386705087135776	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0P6IUB4	0.09884871005323788	0.6032819030077865	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0P9GCZ2	0.49031709138082813	0.005947048763160175	0.1551987886902123	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0Q9M9J0	0.11874708849027164	0.5319806114166822	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0S4XGK5	0.11874708849027164	0.5319806114166822	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0S8G6B2	0.09595694171788151	0.6139720401740659	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0S8IQX6	0.03288313114863486	0.8630431862082264	0.925997264777792	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0S8JFB9	0.09592736329997033	0.6140817908697871	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T7IH18	-0.09843252449590283	0.6048155537440907	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T7ZD96	-0.06128979144727207	0.7476524657642921	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
