section	metric	group	value1	value2	value3
pcoa_position	SRR27343825	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343827	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343200	Bacterial infection	3.243850928658822	-3.0680932950889956	False
pcoa_position	SRR27343223	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343261	Bacterial infection	5.275291458180222	-3.3582751711526884	False
pcoa_position	SRR27343273	Lung cancer	5.637024498835175	-1.4755061582566404	False
pcoa_position	SRR27343291	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343296	Lung cancer	-1.7438120732757483	0.40287962512085485	True
pcoa_position	SRR27343302	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343383	Bacterial infection	2.3031509699022874	1.753245660560577	False
pcoa_position	SRR27343394	Bacterial infection	-4.560919353377406	5.892728275587035	False
pcoa_position	SRR27343436	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343503	Pulmonary tuberculosis	-6.1958893354438205	9.607784733281004	False
pcoa_position	SRR27343512	Bacterial infection	8.73342165183795	-2.6233889009879956	False
pcoa_position	SRR27343519	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343831	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343864	Bacterial infection	3.1540948765062833	1.0328868122632542	False
pcoa_position	SRR27343866	Bacterial infection	-10.80789322526041	-9.156611191183897	False
pcoa_position	SRR27344012	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27344031	Lung cancer	-2.2083881968393806	-0.5988262131607162	False
pcoa_position	SRR27344033	Lung cancer	12.232721233438681	3.1047230855594647	False
pcoa_position	SRR27344044	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343554	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343636	Bacterial infection	-5.358646636497932	-4.009031526724214	False
pcoa_position	SRR27343686	Bacterial infection	-6.395801805245199	-3.758494535159393	False
pcoa_position	SRR27343709	Lung cancer	-5.147687850441786	7.03619564173886	False
pcoa_position	SRR27343711	Lung cancer	3.142585746981836	-5.784756657883784	False
pcoa_position	SRR27343713	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343718	Lung cancer	3.1353390176098683	2.3119270643270986	False
pcoa_position	SRR27343721	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343722	Lung cancer	1.928528528854474	0.6602910278385974	False
pcoa_position	SRR27343728	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343732	Lung cancer	8.658888768559676	1.7962922760341293	False
pcoa_position	SRR27343740	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343754	Pulmonary tuberculosis	7.034658031976912	-2.4141034856022103	False
pcoa_position	SRR27343755	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343760	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343779	Fungal infection	-5.144986778080742	4.198149947619681	False
pcoa_position	SRR27343787	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343800	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343822	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343934	Bacterial infection	-11.252966522551027	-8.794693406265324	False
pcoa_position	SRR27343313	Pulmonary tuberculosis	3.243850928658822	-3.0680932950889956	False
pcoa_position	SRR27343458	Bacterial infection	-3.536607884313682	-6.217462918231551	False
pcoa_position	SRR27343468	Bacterial infection	-8.095399997100749	-11.911878074677857	False
pcoa_position	SRR27343516	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343577	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343601	Bacterial infection	-1.7438120732757483	0.40287962512085485	True
pcoa_position	SRR27343704	Lung cancer	-0.12368978648148825	2.24843254714938	False
pcoa_position	SRR27343705	Bacterial infection	-9.642217966492705	-7.365670709210882	False
pcoa_position	SRR27343707	Lung cancer	2.8017711453492353	0.721500657112755	False
pcoa_position	SRR27343719	Lung cancer	1.5008409492025248	0.7232603318210749	True
pcoa_position	SRR27343720	Lung cancer	-1.7438120732757483	0.40287962512085485	False
