species	detected_samples	prevalence	mean_relative_abundance	median_relative_abundance	maximum_relative_abundance
Chryseobacterium manosquense	15	0.0375	0.00032706595547556073	0.0	0.0276261860012228
Corynebacterium matruchotii	15	0.0375	0.00016412253617482687	0.0	0.029269056190327124
Neisseria macacae	15	0.0375	0.00015043721448471068	0.0	0.021188279978296257
Capnocytophaga endodontalis	15	0.0375	0.0001392108624755366	0.0	0.018975971255333485
Acinetobacter sp. NyZ410	14	0.035	0.0012147520307726732	0.0	0.11019283746556474
Corynebacterium kefirresidentii	14	0.035	0.0010558984886821345	0.0	0.3929427886262419
Staphylococcus warneri	14	0.035	0.0008384218710392001	0.0	0.15978994748687173
Neisseria meningitidis	14	0.035	0.0004182823553151435	0.0	0.038224261050348006
Bacteroides zoogleoformans	14	0.035	0.0003102557945720061	0.0	0.022484683888081853
Neisseria sp. oral taxon 014	14	0.035	0.00023126061588214306	0.0	0.061574315415044004
Streptococcus lactarius	14	0.035	0.00019099762603047715	0.0	0.06754168144732176
Fusobacterium periodonticum	14	0.035	9.882938235050903e-05	0.0	0.008215142301372966
Lachnoanaerobaculum umeaense	14	0.035	5.1278067821729934e-05	0.0	0.004966476285075739
Acinetobacter baumannii	13	0.0325	0.012036225805102782	0.0	0.9987213316749393
Corynebacterium propinquum	13	0.0325	0.004241484520633062	0.0	1.0
Morococcus cerebrosus	13	0.0325	0.0018381210212328716	0.0	0.6623711340206186
Olsenella uli	13	0.0325	0.0007163221000197732	0.0	0.14615929431459662
Treponema socranskii	13	0.0325	0.00012524137508416886	0.0	0.017855278270857262
Capnocytophaga ochracea	13	0.0325	7.411905429418768e-05	0.0	0.009180705369046176
Prevotella multiformis	13	0.0325	6.959731285507224e-05	0.0	0.009762160622499579
Staphylococcus aureus	12	0.03	0.01854054572903871	0.0	1.0
Klebsiella pneumoniae	12	0.03	0.017486882206100996	0.0	1.0
Sphingomonas paucimobilis	12	0.03	0.0010887292122601932	0.0	0.12289562289562289
Haemophilus sp. oral taxon 036	12	0.03	0.00011645304837807828	0.0	0.021577079711352976
Fusobacterium hwasookii	12	0.03	7.437239442837523e-05	0.0	0.008649506147192686
Selenomonas sputigena	12	0.03	2.694309338807719e-05	0.0	0.002562012344241295
Capnocytophaga sp. oral taxon 878	12	0.03	2.570294985596744e-05	0.0	0.0028481396194400678
Aspergillus fumigatus	11	0.0275	0.015952462464050805	0.0	1.0
Sphingomonas melonis	11	0.0275	0.0011293882334039531	0.0	0.09917355371900827
Corynebacterium tuberculostearicum	11	0.0275	0.0009401122164099594	0.0	0.33127783487495716
Acinetobacter junii	11	0.0275	0.00042144431032980047	0.0	0.11198386583165269
Dolosigranulum pigrum	11	0.0275	0.00026940149717748495	0.0	0.04033149171270718
Propionibacterium acidifaciens	11	0.0275	0.0001071395302552295	0.0	0.02295383001049318
Aggregatibacter sp. 2125159857	11	0.0275	7.534163799827775e-05	0.0	0.010804946843133
Corynebacterium accolens	10	0.025	0.0020232484507313425	0.0	0.47056675621397454
Corynebacterium segmentosum	10	0.025	0.0017733266986951664	0.0	0.46728045695208786
Streptococcus constellatus	10	0.025	0.000458797495659006	0.0	0.14125674712292494
Arachnia propionica	10	0.025	0.00039787771521271364	0.0	0.14094537486304587
Acinetobacter guillouiae	10	0.025	0.0003940122119781195	0.0	0.050534499514091356
Acinetobacter lwoffii	10	0.025	0.00032869051193342173	0.0	0.030935025982631745
Actinomyces oris	10	0.025	0.0002502031234639266	0.0	0.0647387402044524
Actinomyces naeslundii	10	0.025	0.00023828305849011376	0.0	0.06892826274848747
Dialister pneumosintes	10	0.025	0.00016607213151486426	0.0	0.03916431083224161
Staphylococcus capitis	10	0.025	0.00015056762381356284	0.0	0.03440366972477064
Corynebacterium callunae	10	0.025	0.00012512241170042958	0.0	0.019958892254435312
Aggregatibacter aphrophilus	10	0.025	0.0001196728236393991	0.0	0.043175735950044605
Corynebacterium macginleyi	10	0.025	5.919715171780385e-05	0.0	0.01718786677447119
Schaalia cardiffensis	10	0.025	5.688009084293009e-05	0.0	0.013892326732673268
Streptococcus sp. 1643	10	0.025	5.51013136756165e-05	0.0	0.006223053770438461
Leptotrichia sp. oral taxon 221	10	0.025	3.365450390341525e-05	0.0	0.004204077955616948
Prevotella dentalis	10	0.025	2.630757129667732e-05	0.0	0.002678315212192711
Mycobacterium tuberculosis	9	0.0225	0.019187234550286786	0.0	1.0
Ralstonia insidiosa	9	0.0225	0.0049712104491256084	0.0	0.7198364008179959
Acinetobacter nosocomialis	9	0.0225	0.003885969622991338	0.0	0.656701030927835
Eikenella corrodens	9	0.0225	0.0016631588522113816	0.0	0.44013961605584645
Paraburkholderia fungorum	9	0.0225	0.00011100302992112053	0.0	0.02808944684189878
Aggregatibacter segnis	9	0.0225	6.25326140271639e-05	0.0	0.0061349693251533735
Neisseria lactamica	9	0.0225	5.9338329134414324e-05	0.0	0.006701191451078995
Granulicatella elegans	9	0.0225	2.917370594161261e-05	0.0	0.006031501483290447
Candidatus Minimicrobia vallesae	9	0.0225	2.602642312624836e-05	0.0	0.002370964800291811
Cryptococcus neoformans	8	0.02	0.009019826219197405	0.0	1.0
Burkholderia multivorans	8	0.02	0.0038488657345966157	0.0	1.0
Neisseria gonorrhoeae	8	0.02	9.714617048854804e-05	0.0	0.028593913955928647
Olsenella sp. oral taxon 807	8	0.02	5.9790924898647967e-05	0.0	0.011582407262482391
Streptococcus thermophilus	8	0.02	5.601143686884177e-05	0.0	0.014443588357731805
Aggregatibacter sp. Marseille-P9115	8	0.02	4.464288801753369e-05	0.0	0.006757357517560239
Streptococcus mutans	8	0.02	3.8738078791618846e-05	0.0	0.009695663883652034
Streptococcus vestibularis	8	0.02	3.7451334733650755e-05	0.0	0.005489916593356422
Selenomonas sp. oral taxon 126	8	0.02	3.242547044728969e-05	0.0	0.010581683168316832
Streptococcus suis	8	0.02	1.4486846975412833e-05	0.0	0.0032756321452153763
Enterococcus faecium	7	0.0175	0.004400930847053035	0.0	0.853386167146974
Ralstonia mannitolilytica	7	0.0175	0.0014238801407963	0.0	0.26753246753246757
Sphingobium sp. YG1	7	0.0175	0.00023717552323613384	0.0	0.052334304121436775
Treponema sp. OMZ 857	7	0.0175	9.177302320841527e-05	0.0	0.03061152183669131
Leptotrichia hongkongensis	7	0.0175	6.219735062184342e-05	0.0	0.016473626545625293
Streptococcus sp. oral taxon 064	7	0.0175	6.108309715227361e-05	0.0	0.011442826540849806
Neisseria cinerea	7	0.0175	6.028243114136393e-05	0.0	0.010025329956005866
Kocuria palustris	7	0.0175	3.94480176612647e-05	0.0	0.007865007865007864
Cupriavidus metallidurans	7	0.0175	3.7850732146981806e-05	0.0	0.005949805279099957
Prevotella copri	7	0.0175	2.003225280552538e-05	0.0	0.005492349941153393
Kingella denitrificans	7	0.0175	1.7579475843706955e-05	0.0	0.004534398366415423
Leptotrichia trevisanii	7	0.0175	8.092420655010975e-06	0.0	0.000999786930654123
Human betaherpesvirus 5	6	0.015	0.004061943832961659	0.0	0.7623715415019763
Pyramidobacter piscolens	6	0.015	0.0025744402783745273	0.0	0.5527365491651205
Human gammaherpesvirus 4	6	0.015	0.001758641493096051	0.0	0.566646378575776
Bradyrhizobium sp. SK17	6	0.015	0.0015766750129260884	0.0	0.19834710743801653
Corynebacterium jeikeium	6	0.015	0.00032160111869407424	0.0	0.10859883521754025
Sphingomonas sp. LK11	6	0.015	0.000232288912943935	0.0	0.03381194997684113
Acinetobacter sp. MYb10	6	0.015	0.00013526792510233488	0.0	0.016768158150207397
Acinetobacter sp. TTH0-4	6	0.015	6.705426249668748e-05	0.0	0.022935779816513763
Lactuca sativa	6	0.015	5.71818948117195e-05	0.0	0.018772196854388638
Atopobium sp. oral taxon 416	6	0.015	5.339582422100021e-05	0.0	0.011189735804706056
Acidovorax sp. KKS102	6	0.015	4.299812164048684e-05	0.0	0.011926245586504512
Porphyromonas somerae	6	0.015	2.713243754385911e-05	0.0	0.009228964054426067
Staphylococcus cohnii	6	0.015	2.1933366776798306e-05	0.0	0.003805413887799137
Methylotenera versatilis	6	0.015	1.921208230893319e-05	0.0	0.0030600235386426047
Cardiobacterium hominis	6	0.015	1.3076258908835553e-05	0.0	0.0020265594622203183
Neomicrococcus aestuarii	6	0.015	1.0149997153650133e-05	0.0	0.0010590415673815197
Pauljensenia hongkongensis	6	0.015	8.813128305046589e-06	0.0	0.00232910213112845
Fretibacterium fastidiosum	6	0.015	6.495252446006834e-06	0.0	0.00116981617174444
Prevotella buccalis	6	0.015	6.121875390706081e-06	0.0	0.0005898670407805376
Veillonella rodentium	6	0.015	3.419451147291465e-06	0.0	0.0006036596868515374
Schaalia meyeri	6	0.015	3.21344708552704e-06	0.0	0.0005416451239628727
Corynebacterium striatum	5	0.0125	0.004592937368273749	0.0	1.0
Escherichia coli	5	0.0125	0.0036562142014203505	0.0	0.9438644303966066
Triticum aestivum	5	0.0125	0.002711049448180149	0.0	1.0
Tropheryma whipplei	5	0.0125	0.0021990047322963265	0.0	0.3148981989036805
Moraxella catarrhalis	5	0.0125	0.0015939254492316369	0.0	0.5553129548762736
Corynebacterium pseudodiphtheriticum	5	0.0125	0.0004291395923604122	0.0	0.08066298342541436
Human alphaherpesvirus 1	5	0.0125	0.0003719165964455408	0.0	0.12933647692825867
Pseudomonas putida	5	0.0125	0.00021372768352792345	0.0	0.03980231224075545
Zea mays	5	0.0125	0.00018242334531750533	0.0	0.06580842635938063
Stutzerimonas stutzeri	5	0.0125	9.016596965582077e-05	0.0	0.03381194997684113
Desulfobulbus oralis	5	0.0125	6.24417545446695e-05	0.0	0.02274751627269613
Micrococcus luteus	5	0.0125	5.8793228284981506e-05	0.0	0.011808552373479796
Pseudomonas alcaligenes	5	0.0125	5.276443192693834e-05	0.0	0.010248447204968944
Burkholderia ubonensis	5	0.0125	4.558956701149316e-05	0.0	0.013730874852883483
Leptotrichia shahii	5	0.0125	3.980097268225829e-05	0.0	0.014948453608247423
Selenomonas sp. oral taxon 478	5	0.0125	2.999577196579597e-05	0.0	0.00494892886197234
Streptococcus sp. FDAARGOS_192	5	0.0125	2.8974303377972792e-05	0.0	0.004261386917542164
Streptococcus equi	5	0.0125	2.8383070882204392e-05	0.0	0.008428308690426194
Treponema parvum	5	0.0125	2.1130308404435866e-05	0.0	0.005691280610545524
Deinococcus wulumuqiensis	5	0.0125	2.06164266667538e-05	0.0	0.005531581012161632
Ligilactobacillus salivarius	5	0.0125	2.019952164504556e-05	0.0	0.006880733944954128
Selenomonas sp. oral taxon 136	5	0.0125	1.957593326720123e-05	0.0	0.004078911687607339
Rhizobium oryzihabitans	5	0.0125	1.7972992038243934e-05	0.0	0.0020832861574692605
Ottowia sp. oral taxon 894	5	0.0125	1.531094110317451e-05	0.0	0.005240153582381493
Bacteroides thetaiotaomicron	5	0.0125	1.4045264536135237e-05	0.0	0.0027461749705766964
Cutibacterium modestum	5	0.0125	1.190670496948194e-05	0.0	0.002007388899566489
Leptotrichia buccalis	5	0.0125	8.428021220722512e-06	0.0	0.0014598040669228929
Epilithonimonas vandammei	5	0.0125	8.32858561181774e-06	0.0	0.001358664885306039
Aggregatibacter sp. oral taxon 513	5	0.0125	8.113075338576232e-06	0.0	0.0011797340815610752
Selenomonas sp. oral taxon 920	5	0.0125	5.550024717856309e-06	0.0	0.0007797270955165692
Capsicum annuum	5	0.0125	4.81655979737854e-06	0.0	0.0008162255750680188
Eikenella exigua	5	0.0125	3.1579225444300453e-06	0.0	0.000492292544844774
Simonsiella muelleri	5	0.0125	2.646616895343044e-06	0.0	0.0005274008726087165
Neisseria bacilliformis	5	0.0125	2.174091029133487e-06	0.0	0.00042169356248778633
Salmonella enterica	4	0.01	0.0037702523227108584	0.0	1.0
Burkholderia cenocepacia	4	0.01	0.0032393356592914655	0.0	0.8153026306409068
Carnobacterium maltaromaticum	4	0.01	0.001408791984211615	0.0	0.5552542372881356
Klebsiella variicola	4	0.01	0.0009179619480182993	0.0	0.32185273159144895
Bradyrhizobium sp. CCBAU 53421	4	0.01	0.00076309633610046	0.0	0.1285444234404537
Sphingomonas sanguinis	4	0.01	0.00024813647629677176	0.0	0.02943773918163085
Sphingomonas sp. NIC1	4	0.01	0.0002057789458316188	0.0	0.022259459704263945
