batch	job_id	run	status	total_reads	classified_reads	unclassified_reads	classified_pct	kraken_species_count	bracken_species_count	top_species	top_species_fraction	top_pathogen	top_pathogen_fraction	top_pathogen_reads	clinical_pathogen_hits	second_stage_priority	second_stage_reason	error
20260724T170118Z-prjna1056765-production-descriptive-batch-003	20260724T170118Z-prjna1056765-production-descriptive-batch-003	SRR27343784	done	196814	2437	194377	1.2382	24	4	Homo sapiens	0.49622							
20260724T170118Z-prjna1056765-production-descriptive-batch-003	20260724T170118Z-prjna1056765-production-descriptive-batch-003	SRR27343785	done	209197	2747	206450	1.3131	34	5	Toxoplasma gondii	0.45724	Enterococcus faecium	0.02369	64.0	Enterococcus faecium;Staphylococcus hominis	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-003	20260724T170118Z-prjna1056765-production-descriptive-batch-003	SRR27343788	done	189882	4160	185722	2.1908	24	3	Arabidopsis thaliana	0.50503							
20260724T170118Z-prjna1056765-production-descriptive-batch-003	20260724T170118Z-prjna1056765-production-descriptive-batch-003	SRR27343803	done	163377	1445	161932	0.8845	17	3	Toxoplasma gondii	0.48664							
20260724T170118Z-prjna1056765-production-descriptive-batch-003	20260724T170118Z-prjna1056765-production-descriptive-batch-003	SRR27343812	done	224537	3548	220989	1.5801	41	5	Homo sapiens	0.37983	Staphylococcus aureus	0.05385	188.0	Staphylococcus aureus;Cryptococcus neoformans	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-003	20260724T170118Z-prjna1056765-production-descriptive-batch-003	SRR27343813	done	209168	2308	206860	1.1034	22	3	Homo sapiens	0.62776							
20260724T170118Z-prjna1056765-production-descriptive-batch-003	20260724T170118Z-prjna1056765-production-descriptive-batch-003	SRR27343959	done	182461	3446	179015	1.8886	55	10	Toxoplasma gondii	0.57596	Prevotella intermedia	0.01226	41.0	Prevotella intermedia;Prevotella oris;Prevotella nigrescens	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343278	done	239659	3704	235955	1.5455	21	6	Homo sapiens	0.38704	Klebsiella pneumoniae	0.10849	400.0	Klebsiella pneumoniae;Haemophilus influenzae	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343300	done	234650	3982	230668	1.697	68	15	Toxoplasma gondii	0.36098	Streptococcus salivarius	0.01904	73.0	Streptococcus salivarius;Streptococcus mitis;Veillonella atypica;Prevotella histicola;Prevotella jejuni	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343308	done	223230	2982	220248	1.3358	19	3	Homo sapiens	0.43412							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343312	done	230243	5265	224978	2.2867	21	4	Arabidopsis thaliana	0.48277							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343315	done	215819	2894	212925	1.3409	40	7	Toxoplasma gondii	0.46955	Prevotella melaninogenica	0.00531	15.0	Prevotella melaninogenica;Prevotella veroralis	2	moderate_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343329	done	220896	3672	217224	1.6623	34	6	Homo sapiens	0.38725	Prevotella melaninogenica	0.00807	29.0	Prevotella melaninogenica	2	moderate_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343435	done	249041	2119	246922	0.8509	75	7	Homo sapiens	0.48496	Streptococcus oralis	0.03115	58.0	Streptococcus oralis;Streptococcus mitis;Prevotella melaninogenica;Rothia mucilaginosa	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343470	done	228456	5233	223223	2.2906	21	3	Arabidopsis thaliana	0.50929							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343477	done	225714	2344	223370	1.0385	13	3	Homo sapiens	0.49481							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343496	done	230587	4683	225904	2.0309	28	4	Arabidopsis thaliana	0.45153							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343505	done	245839	4880	240959	1.985	90	15	Homo sapiens	0.32022	Streptococcus pneumoniae	0.05152	237.0	Streptococcus pneumoniae;Streptococcus mitis;Streptococcus pseudopneumoniae;Rothia mucilaginosa;Prevotella melaninogenica	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343506	done	220366	3130	217236	1.4204	15	3	Toxoplasma gondii	0.61039							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343513	done	240209	8536	231673	3.5536	86	10	Arabidopsis thaliana	0.70429	Veillonella parvula	0.01036	86.0	Veillonella parvula;Streptococcus mitis;Rothia mucilaginosa;Streptococcus pneumoniae	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343521	done	266429	5685	260744	2.1338	44	4	Toxoplasma gondii	0.40219							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27343747	done	233163	3213	229950	1.378	22	4	Toxoplasma gondii	0.50509							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27344016	done	212511	3620	208891	1.7034	10	2	Toxoplasma gondii	0.54746							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27344018	done	211090	2090	209000	0.9901	31	5	Homo sapiens	0.52629							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27344022	done	183377	2727	180650	1.4871	21	3	Arabidopsis thaliana	0.4959							
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27344038	done	172064	4204	167860	2.4433	27	5	Toxoplasma gondii	0.3999	Pseudomonas aeruginosa	0.3543	1476.0	Pseudomonas aeruginosa	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-004	20260724T170118Z-prjna1056765-production-descriptive-batch-004	SRR27344048	done	197379	4235	193144	2.1456	19	5	Homo sapiens	0.37007	Pseudomonas aeruginosa	0.30641	1290.0	Pseudomonas aeruginosa;Mycobacteroides abscessus	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343749	done	267510	3571	263939	1.3349	47	6	Homo sapiens	0.36292							
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343756	done	234216	5202	229014	2.221	44	5	Arabidopsis thaliana	0.41706	Prevotella melaninogenica	0.01255	64.0	Prevotella melaninogenica;Rothia mucilaginosa	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343764	done	235355	3877	231478	1.6473	35	3	Homo sapiens	0.3946							
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343768	done	249241	4423	244818	1.7746	41	6	Toxoplasma gondii	0.47455							
