second_stage_priority	second_stage_reason	run	batch	classified_pct	total_reads	top_pathogen	top_pathogen_fraction	top_pathogen_reads	clinical_pathogen_hits	top_species	top_species_fraction
1	high_pathogen_fraction	SRR27343767	20260724T170118Z-prjna1056765-production-descriptive-batch-001	1.8589	157678	Toxoplasma gondii	0.43599	1243.0	Toxoplasma gondii	Homo sapiens	0.45598
1	high_pathogen_fraction	SRR27343898	20260724T170118Z-prjna1056765-production-descriptive-batch-008	1.298	292445	Toxoplasma gondii	0.43477	1633.0	Toxoplasma gondii	Homo sapiens	0.44569
1	high_pathogen_fraction	SRR27343283	20260724T170118Z-prjna1056765-production-descriptive-batch-006	3.439	280340	Enterococcus faecium	0.43152	4121.0	Enterococcus faecium;Staphylococcus epidermidis;Stenotrophomonas maltophilia;Toxoplasma gondii;Candida albicans	Enterococcus faecium	0.43152
1	high_pathogen_fraction	SRR27343761	20260724T170118Z-prjna1056765-production-descriptive-batch-016	1.044	623562	Toxoplasma gondii	0.43008	2777.0	Toxoplasma gondii;Mycobacterium tuberculosis	Toxoplasma gondii	0.43008
1	high_pathogen_fraction	SRR27343624	20260724T170118Z-prjna1056765-production-descriptive-batch-014	1.5441	482426	Toxoplasma gondii	0.42955	3186.0	Toxoplasma gondii;Staphylococcus aureus	Toxoplasma gondii	0.42955
1	high_pathogen_fraction	SRR27343723	20260724T170118Z-prjna1056765-production-descriptive-batch-013	1.0352	411120	Toxoplasma gondii	0.42699	1775.0	Toxoplasma gondii	Homo sapiens	0.4751
1	high_pathogen_fraction	SRR27343477	20260724T170118Z-prjna1056765-production-descriptive-batch-004	1.0385	225714	Toxoplasma gondii	0.42567	985.0	Toxoplasma gondii	Homo sapiens	0.49481
1	high_pathogen_fraction	SRR27343317	20260724T170118Z-prjna1056765-production-descriptive-batch-008	1.1947	291210	Toxoplasma gondii	0.42521	1464.0	Toxoplasma gondii	Toxoplasma gondii	0.42521
1	high_pathogen_fraction	SRR27343864	20260724T170118Z-prjna1056765-production-descriptive-batch-010	1.202	282106	Toxoplasma gondii	0.42515	1403.0	Toxoplasma gondii;Pseudomonas aeruginosa;Streptococcus salivarius;Prevotella jejuni;Rothia mucilaginosa	Toxoplasma gondii	0.42515
1	high_pathogen_fraction	SRR27343811	20260724T170118Z-prjna1056765-production-descriptive-batch-001	2.0512	150061	Toxoplasma gondii	0.42284	1244.0	Toxoplasma gondii;Prevotella melaninogenica;Prevotella jejuni	Toxoplasma gondii	0.42284
1	high_pathogen_fraction	SRR27343770	20260724T170118Z-prjna1056765-production-descriptive-batch-003	0.9925	190829	Toxoplasma gondii	0.4195	766.0	Toxoplasma gondii	Homo sapiens	0.56353
1	high_pathogen_fraction	SRR27343601	20260724T170118Z-prjna1056765-production-descriptive-batch-012	1.3016	357014	Haemophilus influenzae	0.41463	1899.0	Haemophilus influenzae;Toxoplasma gondii	Haemophilus influenzae	0.41463
1	high_pathogen_fraction	SRR27343822	20260724T170118Z-prjna1056765-production-descriptive-batch-011	1.4864	371090	Toxoplasma gondii	0.41377	2224.0	Toxoplasma gondii	Toxoplasma gondii	0.41377
