job_id	run	pathogen_group	status	error	amr_status	amr_records	amr_subset_reads	host_removed_fastq	kreport	bracken
20260807T000000Z-prjna1056765-host-amr-screen-11	SRR27343868	Acinetobacter	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-11/host_removed/SRR27343868.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-11/kraken2_confirm/SRR27343868.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-11/kraken2_confirm/SRR27343868.bracken
20260807T000000Z-prjna1056765-host-amr-screen-12	SRR27343475	Candida	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-12/host_removed/SRR27343475.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-12/kraken2_confirm/SRR27343475.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-12/kraken2_confirm/SRR27343475.bracken
20260807T000000Z-prjna1056765-host-amr-screen-13	SRR27343853	Acinetobacter	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-13/host_removed/SRR27343853.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-13/kraken2_confirm/SRR27343853.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-13/kraken2_confirm/SRR27343853.bracken
20260807T000000Z-prjna1056765-host-amr-screen-14	SRR27343738	Acinetobacter	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-14/host_removed/SRR27343738.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-14/kraken2_confirm/SRR27343738.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-14/kraken2_confirm/SRR27343738.bracken
20260807T000000Z-prjna1056765-host-amr-screen-15	SRR27344035	Haemophilus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-15/host_removed/SRR27344035.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-15/kraken2_confirm/SRR27344035.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-15/kraken2_confirm/SRR27344035.bracken
20260807T000000Z-prjna1056765-host-amr-screen-16	SRR27343494	Enterobacterales	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-16/host_removed/SRR27343494.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-16/kraken2_confirm/SRR27343494.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-16/kraken2_confirm/SRR27343494.bracken
20260807T000000Z-prjna1056765-host-amr-screen-17	SRR27343523	Streptococcus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-17/host_removed/SRR27343523.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-17/kraken2_confirm/SRR27343523.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-17/kraken2_confirm/SRR27343523.bracken
20260807T000000Z-prjna1056765-host-amr-screen-18	SRR27343719	Haemophilus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-18/host_removed/SRR27343719.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-18/kraken2_confirm/SRR27343719.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-18/kraken2_confirm/SRR27343719.bracken
20260807T000000Z-prjna1056765-host-amr-screen-19	SRR27343346	Enterobacterales	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-19/host_removed/SRR27343346.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-19/kraken2_confirm/SRR27343346.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-19/kraken2_confirm/SRR27343346.bracken
20260807T000000Z-prjna1056765-host-amr-screen-20	SRR27343993	Staphylococcus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-20/host_removed/SRR27343993.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-20/kraken2_confirm/SRR27343993.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-20/kraken2_confirm/SRR27343993.bracken
