run_accession	experiment_accession	biosample	sra_sample	sample_alias	submitted_sample_name	library_name	group_phenotype_fields	platform	layout	read_length_nt	spots	bases	sra_size_mib	compressed_bytes_ena_fastq	download_url	fastq_md5	host_depletion_status	source
SRR24785234	SRX20557988	SAMN35536869	SRS17864032	N100019293_L01_8.fq.gz	N100019293_L01_8.fq.gz	L619	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	27942317	1397115850	1196	624390819	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/034/SRR24785234/SRR24785234.fastq.gz	f62f548d6e03105d96f2d7d14e311b09	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785235	SRX20557987	SAMN35536868	SRS17864033	N100019272_L01_8.fq.gz	N100019272_L01_8.fq.gz	L618	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	23746804	1187340200	997	542751494	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/035/SRR24785235/SRR24785235.fastq.gz	69ab8448b38d666ce8aa232af6199bb5	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785236	SRX20557986	SAMN35536867	SRS17864031	N100019272_L01_6.fq.gz	N100019272_L01_6.fq.gz	L617	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	31498758	1574937900	1331	719160095	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/036/SRR24785236/SRR24785236.fastq.gz	1bf0b1181043abe86e45267df5b035f6	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785237	SRX20557985	SAMN35536866	SRS17864029	N100019272_L01_5.fq.gz	N100019272_L01_5.fq.gz	L616	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	20525623	1026281150	854	470829238	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/037/SRR24785237/SRR24785237.fastq.gz	5f923b87add07a1f0ff17646785cd30b	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785238	SRX20557984	SAMN35536865	SRS17864030	N100019272_L01_4.fq.gz	N100019272_L01_4.fq.gz	L615	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	33813182	1690659100	1427	768606571	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/038/SRR24785238/SRR24785238.fastq.gz	61103d1f5e1bba78819e7343245bf87f	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785239	SRX20557983	SAMN35536864	SRS17864027	N100019272_L01_2.fq.gz	N100019272_L01_2.fq.gz	L614	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	28868464	1443423200	1214	659314545	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/039/SRR24785239/SRR24785239.fastq.gz	ffb5a1d1a26afff11de847bc7806988d	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785240	SRX20557982	SAMN35536863	SRS17864028	N100019272_L01_1.fq.gz	N100019272_L01_1.fq.gz	L613	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	23975763	1198788150	1001	551126344	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/040/SRR24785240/SRR24785240.fastq.gz	b610496c09dbb4b6f743171d8003d3c7	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785241	SRX20557981	SAMN35536862	SRS17864022	N100019260_L01_8.fq.gz	N100019260_L01_8.fq.gz	L612	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	20615838	1030791900	868	469926026	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/041/SRR24785241/SRR24785241.fastq.gz	fa14e8168e09a48b2ea155fc1018b6f2	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785242	SRX20557980	SAMN35536861	SRS17864026	N100019260_L01_10.fq.gz	N100019260_L01_10.fq.gz	L611	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	22292729	1114636450	940	508500939	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/042/SRR24785242/SRR24785242.fastq.gz	c90dc8fe31f7e7443b0ab3f305fb0ffb	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785243	SRX20557979	SAMN35536312	SRS17864024	V300020377_L02_22.fq.gz	V300020377_L02_22.fq.gz	L62	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	42297963	2114898150	1755	1013051892	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/043/SRR24785243/SRR24785243.fastq.gz	91100294d9b031db4f5772fce2a5a1f2	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785244	SRX20557978	SAMN35536860	SRS17864021	N100019260_L01_6.fq.gz	N100019260_L01_6.fq.gz	L610	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	25180701	1259035050	1070	575414525	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/044/SRR24785244/SRR24785244.fastq.gz	d925f97564765585fa2d4e364f6c4f7f	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785245	SRX20557977	SAMN35536859	SRS17864020	N100019260_L01_5.fq.gz	N100019260_L01_5.fq.gz	L609	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	25247100	1262355000	1050	571724532	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/045/SRR24785245/SRR24785245.fastq.gz	f4f7f545a8c973bb32a7eb8964f35a4d	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785246	SRX20557976	SAMN35536858	SRS17864025	N100019258_L01_32.fq.gz	N100019258_L01_32.fq.gz	L608	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	17638681	881934050	752	399675323	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/046/SRR24785246/SRR24785246.fastq.gz	99b045bc18290d2ed3ca9521c1767034	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785247	SRX20557975	SAMN35536857	SRS17864023	N100019258_L01_30.fq.gz	N100019258_L01_30.fq.gz	L607	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	40075279	2003763950	1709	911683967	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/047/SRR24785247/SRR24785247.fastq.gz	0aeabd5a0fe738e850161ae09aeabdcd	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785248	SRX20557974	SAMN35536856	SRS17864019	N100019251_L01_25.fq.gz	N100019251_L01_25.fq.gz	L606	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	23992768	1199638400	1016	546609740	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/048/SRR24785248/SRR24785248.fastq.gz	5d02be4260170c9d17d2e9e3d7772436	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785249	SRX20557973	SAMN35536855	SRS17864017	N100019251_L01_11.fq.gz	N100019251_L01_11.fq.gz	L605	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	39490534	1974526700	1646	900698500	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/049/SRR24785249/SRR24785249.fastq.gz	1c64fcc7440450329e3a31c7290ee89f	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785250	SRX20557972	SAMN35536854	SRS17864015	N100019246_L01_25.fq.gz	N100019246_L01_25.fq.gz	L604	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	32352421	1617621050	1380	735582018	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/050/SRR24785250/SRR24785250.fastq.gz	0ad71dd4e002750b8da5651e6365edb5	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785251	SRX20557971	SAMN35536853	SRS17864016	N100019244_L01_29.fq.gz	N100019244_L01_29.fq.gz	L603	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	46168384	2308419200	1990	1049054843	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/051/SRR24785251/SRR24785251.fastq.gz	4491cc7805f6d323d43589114ac40d21	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785252	SRX20557970	SAMN35536852	SRS17864018	N100019244_L01_25.fq.gz	N100019244_L01_25.fq.gz	L602	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	28614642	1430732100	1233	659984860	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/052/SRR24785252/SRR24785252.fastq.gz	3a5984dff9170025cbfd9b42475cf123	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785253	SRX20557969	SAMN35536851	SRS17864013	N100019243_L01_11.fq.gz	N100019243_L01_11.fq.gz	L601	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	28317742	1415887100	1205	648496103	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/053/SRR24785253/SRR24785253.fastq.gz	81fa7be352cedb4168e776e1908d2df6	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785254	SRX20557968	SAMN35536311	SRS17864011	N100009043_L01_11.fq.gz	N100009043_L01_11.fq.gz	L61	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	9611852	480592600	450	219619362	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/054/SRR24785254/SRR24785254.fastq.gz	b97befad4a21770c08d054d9bc9865e5	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785255	SRX20557967	SAMN35536257	SRS17864012	V350011298_L01_7.fq.gz	V350011298_L01_7.fq.gz	L7	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	42373826	2118691300	1841	940527949	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/055/SRR24785255/SRR24785255.fastq.gz	1385d740c2b5623c01d5d8dbcb913a76	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785256	SRX20557966	SAMN35536850	SRS17864014	N100019243_L01_10.fq.gz	N100019243_L01_10.fq.gz	L600	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	23726893	1186344650	996	536911734	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/056/SRR24785256/SRR24785256.fastq.gz	ef6aef66418eafc03543af1cc1c450ea	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785257	SRX20557965	SAMN35536849	SRS17864010	N100019243_L01_8.fq.gz	N100019243_L01_8.fq.gz	L599	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	19936035	996801750	850	447180925	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/057/SRR24785257/SRR24785257.fastq.gz	72f80b6f734e627eade3f0c887011d66	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
SRR24785258	SRX20557964	SAMN35536848	SRS17864009	N100019243_L01_6.fq.gz	N100019243_L01_6.fq.gz	L598	NONE; Subject_ID/Disease/Affection_Status empty in current RunInfo	Illumina NovaSeq 6000	SINGLE	50	26518468	1325923400	1155	606604051	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/058/SRR24785258/SRR24785258.fastq.gz	171de18b973139e46cd6eb012cdcbb80	UNRESOLVED_AT_FILE_LEVEL	NCBI RunInfo and ENA read_run filereport retrieved 2026-08-24
